2020-11-24 10:08:14.393 DEBUG 12696 --- [XNIO-1 task-65] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:08:14.793 DEBUG 12696 --- [XNIO-1 task-68] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:08:14.794 DEBUG 12696 --- [XNIO-1 task-69] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:08:14.797 DEBUG 12696 --- [XNIO-1 task-71] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:08:14.798 DEBUG 12696 --- [XNIO-1 task-72] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:08:40.568 DEBUG 12696 --- [XNIO-1 task-74] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:08:40.569 DEBUG 12696 --- [XNIO-1 task-76] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:08:40.570 DEBUG 12696 --- [XNIO-1 task-77] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:08:40.574 DEBUG 12696 --- [XNIO-1 task-78] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:08:59.731 DEBUG 12696 --- [XNIO-1 task-80] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:08:59.731 DEBUG 12696 --- [XNIO-1 task-81] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:08:59.732 DEBUG 12696 --- [XNIO-1 task-83] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:08:59.739 DEBUG 12696 --- [XNIO-1 task-84] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:09:40.395 DEBUG 12696 --- [XNIO-1 task-86] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:09:40.396 DEBUG 12696 --- [XNIO-1 task-87] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:09:40.397 DEBUG 12696 --- [XNIO-1 task-89] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:09:46.274 DEBUG 12696 --- [XNIO-1 task-91] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:09:46.274 DEBUG 12696 --- [XNIO-1 task-93] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:09:46.275 DEBUG 12696 --- [XNIO-1 task-94] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
2020-11-24 10:09:59.059 DEBUG 12696 --- [XNIO-1 task-3] s.r.demo.controller.DemoController       : registe server(demo-server:5030)
2020-11-24 10:09:59.059 DEBUG 12696 --- [XNIO-1 task-4] s.r.demo.controller.DemoController       : 用户信息：UserInfo{id='null', name='rockpile', age=18, interests=[programming, running, reading], tags={hobby=gunpla}, createDate=null}
